region,year,year_month,unique_species,observation_count
Border Field,2023,2023-01,6,6
Border Field,2024,2024-01,10,10
Border Field,2025,2025-01,4,4
Otay Mesa,2023,2023-01,59,59
Otay Mesa,2024,2024-01,69,69
Otay Mesa,2025,2025-01,68,68
Otay Mesa,2026,2026-01,37,37
Otay Mountain,2023,2023-01,624,624
Otay Mountain,2024,2024-01,686,686
Otay Mountain,2025,2025-01,624,624
Otay Mountain,2026,2026-01,365,365
Tecate,2023,2023-01,213,213
Tecate,2024,2024-01,253,253
Tecate,2025,2025-01,218,218
Tecate,2026,2026-01,142,142
Campo,2023,2023-01,113,113
Campo,2024,2024-01,116,116
Campo,2025,2025-01,120,120
Campo,2026,2026-01,34,34
Jacumba,2023,2023-01,64,64
Jacumba,2024,2024-01,95,95
Jacumba,2025,2025-01,37,37
Jacumba,2026,2026-01,26,26
Mountain Empire,2023,2023-01,42,42
Mountain Empire,2024,2024-01,54,54
Mountain Empire,2025,2025-01,27,27
Mountain Empire,2026,2026-01,14,14
Imperial Beach,2023,2023-01,14,14
Imperial Beach,2024,2024-01,20,20
Imperial Beach,2025,2025-01,12,12
Imperial Beach,2026,2026-01,8,8
Chula Vista,2023,2023-01,438,438
Chula Vista,2024,2024-01,507,507
Chula Vista,2025,2025-01,437,437
Chula Vista,2026,2026-01,297,297
Jamul,2023,2023-01,644,644
Jamul,2024,2024-01,783,783
Jamul,2025,2025-01,696,696
Jamul,2026,2026-01,484,484
Alpine,2023,2023-01,380,380
Alpine,2024,2024-01,370,370
Alpine,2025,2025-01,354,354
Alpine,2026,2026-01,211,211
Pine Valley,2023,2023-01,123,123
Pine Valley,2024,2024-01,162,162
Pine Valley,2025,2025-01,123,123
Pine Valley,2026,2026-01,83,83
Mount Laguna,2023,2023-01,106,106
Mount Laguna,2024,2024-01,92,92
Mount Laguna,2025,2025-01,100,100
Mount Laguna,2026,2026-01,67,67
Anza-Borrego South,2023,2023-01,93,93
Anza-Borrego South,2024,2024-01,81,81
Anza-Borrego South,2025,2025-01,64,64
Anza-Borrego South,2026,2026-01,33,33
Coronado,2023,2023-01,17,17
Coronado,2024,2024-01,24,24
Coronado,2025,2025-01,21,21
Coronado,2026,2026-01,7,7
National City,2023,2023-01,742,742
National City,2024,2024-01,896,896
National City,2025,2025-01,808,808
National City,2026,2026-01,549,549
Spring Valley,2023,2023-01,914,914
Spring Valley,2024,2024-01,1033,1033
Spring Valley,2025,2025-01,957,957
Spring Valley,2026,2026-01,579,579
El Cajon,2023,2023-01,396,396
El Cajon,2024,2024-01,410,410
El Cajon,2025,2025-01,356,356
El Cajon,2026,2026-01,179,179
Cuyamaca,2023,2023-01,180,180
Cuyamaca,2024,2024-01,171,171
Cuyamaca,2025,2025-01,178,178
Cuyamaca,2026,2026-01,64,64
Julian,2023,2023-01,143,143
Julian,2024,2024-01,142,142
Julian,2025,2025-01,108,108
Julian,2026,2026-01,92,92
Anza-Borrego Central,2023,2023-01,75,75
Anza-Borrego Central,2024,2024-01,35,35
Anza-Borrego Central,2025,2025-01,43,43
Anza-Borrego Central,2026,2026-01,13,13
Point Loma,2023,2023-01,27,27
Point Loma,2024,2024-01,28,28
Point Loma,2025,2025-01,22,22
Point Loma,2026,2026-01,9,9
Downtown SD,2023,2023-01,845,845
Downtown SD,2024,2024-01,1001,1001
Downtown SD,2025,2025-01,888,888
Downtown SD,2026,2026-01,642,642
Mission Valley,2023,2023-01,579,579
Mission Valley,2024,2024-01,643,643
Mission Valley,2025,2025-01,690,690
Mission Valley,2026,2026-01,474,474
Santee,2023,2023-01,426,426
Santee,2024,2024-01,490,490
Santee,2025,2025-01,435,435
Santee,2026,2026-01,238,238
Ramona,2023,2023-01,247,247
Ramona,2024,2024-01,257,257
Ramona,2025,2025-01,230,230
Ramona,2026,2026-01,86,86
Santa Ysabel,2023,2023-01,202,202
Santa Ysabel,2024,2024-01,216,216
Santa Ysabel,2025,2025-01,233,233
Santa Ysabel,2026,2026-01,74,74
Borrego Springs,2023,2023-01,82,82
Borrego Springs,2024,2024-01,61,61
Borrego Springs,2025,2025-01,34,34
Borrego Springs,2026,2026-01,45,45
Mission Bay,2023,2023-01,28,28
Mission Bay,2024,2024-01,27,27
Mission Bay,2025,2025-01,27,27
Mission Bay,2026,2026-01,15,15
Balboa Park,2023,2023-01,783,783
Balboa Park,2024,2024-01,776,776
Balboa Park,2025,2025-01,726,726
Balboa Park,2026,2026-01,482,482
Mission Trails,2023,2023-01,534,534
Mission Trails,2024,2024-01,541,541
Mission Trails,2025,2025-01,545,545
Mission Trails,2026,2026-01,363,363
Poway,2023,2023-01,219,219
Poway,2024,2024-01,240,240
Poway,2025,2025-01,195,195
Poway,2026,2026-01,111,111
San Pasqual,2023,2023-01,317,317
San Pasqual,2024,2024-01,275,275
San Pasqual,2025,2025-01,264,264
San Pasqual,2026,2026-01,144,144
Palomar Mountain,2023,2023-01,147,147
Palomar Mountain,2024,2024-01,126,126
Palomar Mountain,2025,2025-01,128,128
Palomar Mountain,2026,2026-01,89,89
Anza-Borrego North,2023,2023-01,71,71
Anza-Borrego North,2024,2024-01,43,43
Anza-Borrego North,2025,2025-01,29,29
Anza-Borrego North,2026,2026-01,39,39
La Jolla,2023,2023-01,14,14
La Jolla,2024,2024-01,15,15
La Jolla,2025,2025-01,18,18
La Jolla,2026,2026-01,4,4
Miramar,2023,2023-01,647,647
Miramar,2024,2024-01,661,661
Miramar,2025,2025-01,598,598
Miramar,2026,2026-01,324,324
Scripps Ranch,2023,2023-01,504,504
Scripps Ranch,2024,2024-01,551,551
Scripps Ranch,2025,2025-01,507,507
Scripps Ranch,2026,2026-01,340,340
Rancho Bernardo,2023,2023-01,265,265
Rancho Bernardo,2024,2024-01,234,234
Rancho Bernardo,2025,2025-01,225,225
Rancho Bernardo,2026,2026-01,105,105
Escondido,2023,2023-01,286,286
Escondido,2024,2024-01,271,271
Escondido,2025,2025-01,256,256
Escondido,2026,2026-01,98,98
Valley Center,2023,2023-01,136,136
Valley Center,2024,2024-01,103,103
Valley Center,2025,2025-01,88,88
Valley Center,2026,2026-01,92,92
Palomar East,2023,2023-01,41,41
Palomar East,2024,2024-01,33,33
Palomar East,2025,2025-01,13,13
Palomar East,2026,2026-01,14,14
Del Mar,2023,2023-01,274,274
Del Mar,2024,2024-01,291,291
Del Mar,2025,2025-01,267,267
Del Mar,2026,2026-01,179,179
Carmel Valley,2023,2023-01,837,837
Carmel Valley,2024,2024-01,816,816
Carmel Valley,2025,2025-01,868,868
Carmel Valley,2026,2026-01,540,540
Rancho Santa Fe,2023,2023-01,493,493
Rancho Santa Fe,2024,2024-01,532,532
Rancho Santa Fe,2025,2025-01,465,465
Rancho Santa Fe,2026,2026-01,238,238
San Marcos,2023,2023-01,293,293
San Marcos,2024,2024-01,329,329
San Marcos,2025,2025-01,282,282
San Marcos,2026,2026-01,100,100
Vista,2023,2023-01,238,238
Vista,2024,2024-01,216,216
Vista,2025,2025-01,206,206
Vista,2026,2026-01,101,101
Fallbrook,2023,2023-01,291,291
Fallbrook,2024,2024-01,263,263
Fallbrook,2025,2025-01,188,188
Fallbrook,2026,2026-01,238,238
Temecula Border,2023,2023-01,78,78
Temecula Border,2024,2024-01,97,97
Temecula Border,2025,2025-01,58,58
Temecula Border,2026,2026-01,72,72
